NightID,Interval,TimeFraction,TemperatureC,NoiseLevel,CallActivity
Night_001,1,0.0,6.24,0.239,0
Night_001,2,0.0141,6.84,0.253,0
Night_001,3,0.0282,6.43,0.419,1
Night_001,4,0.0423,6.42,0.429,1
Night_001,5,0.0563,6.22,0.47,0
Night_001,6,0.0704,6.21,0.44,1
Night_001,7,0.0845,6.05,0.391,0
Night_001,8,0.0986,6.17,0.274,0
Night_001,9,0.1127,6.14,0.321,0
Night_001,10,0.1268,6.0,0.305,0
Night_001,11,0.1408,6.1,0.38,0
Night_001,12,0.1549,5.63,0.421,0
Night_001,13,0.169,6.03,0.373,2
Night_001,14,0.1831,5.58,0.294,0
Night_001,15,0.1972,5.63,0.23,0
Night_001,16,0.2113,5.46,0.206,0
Night_001,17,0.2254,5.47,0.203,1
Night_001,18,0.2394,5.41,0.232,1
Night_001,19,0.2535,5.53,0.182,3
Night_001,20,0.2676,5.85,0.115,0
Night_001,21,0.2817,5.1,0.204,0
Night_001,22,0.2958,5.2,0.174,0
Night_001,23,0.3099,4.75,0.227,0
Night_001,24,0.3239,5.07,0.285,0
Night_001,25,0.338,5.06,0.327,0
Night_001,26,0.3521,5.21,0.411,0
Night_001,27,0.3662,5.18,0.387,0
Night_001,28,0.3803,5.09,0.373,0
Night_001,29,0.3944,4.8,0.344,0
Night_001,30,0.4085,4.78,0.429,0
Night_001,31,0.4225,4.53,0.41,0
Night_001,32,0.4366,5.02,0.457,0
Night_001,33,0.4507,4.42,0.391,0
Night_001,34,0.4648,4.16,0.425,0
Night_001,35,0.4789,4.32,0.412,0
Night_001,36,0.493,4.71,0.509,0
Night_001,37,0.507,4.34,0.488,1
Night_001,38,0.5211,4.44,0.529,0
Night_001,39,0.5352,4.32,0.531,0
Night_001,40,0.5493,4.07,0.489,0
Night_001,41,0.5634,3.6,0.433,0
Night_001,42,0.5775,4.2,0.459,0
Night_001,43,0.5915,3.66,0.498,0
Night_001,44,0.6056,3.51,0.548,0
Night_001,45,0.6197,3.39,0.438,0
Night_001,46,0.6338,3.31,0.364,0
Night_001,47,0.6479,3.47,0.342,0
Night_001,48,0.662,3.48,0.48,0
Night_001,49,0.6761,3.14,0.463,0
Night_001,50,0.6901,3.11,0.502,0
Night_001,51,0.7042,3.14,0.659,0
Night_001,52,0.7183,3.04,0.663,0
Night_001,53,0.7324,2.95,0.734,0
Night_001,54,0.7465,2.79,0.705,0
Night_001,55,0.7606,2.82,0.776,1
Night_001,56,0.7746,2.44,0.795,1
Night_001,57,0.7887,2.81,0.811,0
Night_001,58,0.8028,2.66,0.789,0
Night_001,59,0.8169,2.73,0.682,0
Night_001,60,0.831,2.68,0.605,0
Night_001,61,0.8451,2.27,0.596,0
Night_001,62,0.8592,2.75,0.56,0
Night_001,63,0.8732,2.67,0.38,0
Night_001,64,0.8873,2.52,0.268,0
Night_001,65,0.9014,2.2,0.258,0
Night_001,66,0.9155,2.32,0.282,1
Night_001,67,0.9296,2.14,0.225,0
Night_001,68,0.9437,2.32,0.207,0
Night_001,69,0.9577,1.98,0.053,1
Night_001,70,0.9718,1.75,0.142,0
Night_001,71,0.9859,1.77,0.154,0
Night_001,72,1.0,1.75,0.147,0
Night_002,1,0.0,6.24,0.084,1
Night_002,2,0.0141,6.81,0.043,2
Night_002,3,0.0282,6.31,0.0,0
Night_002,4,0.0423,6.39,0.063,0
Night_002,5,0.0563,5.98,0.085,1
Night_002,6,0.0704,6.48,0.071,1
Night_002,7,0.0845,6.05,0.022,1
Night_002,8,0.0986,6.03,0.054,2
Night_002,9,0.1127,5.82,0.034,0
Night_002,10,0.1268,5.91,0.016,2
Night_002,11,0.1408,5.65,0.072,2
Night_002,12,0.1549,6.17,0.021,0
Night_002,13,0.169,6.12,0.023,2
Night_002,14,0.1831,5.47,0.0,1
Night_002,15,0.1972,5.41,0.0,1
Night_002,16,0.2113,5.57,0.0,1
Night_002,17,0.2254,5.44,0.128,0
Night_002,18,0.2394,4.88,0.19,1
Night_002,19,0.2535,5.24,0.2,2
Night_002,20,0.2676,4.73,0.256,1
Night_002,21,0.2817,5.29,0.247,0
Night_002,22,0.2958,5.1,0.155,0
Night_002,23,0.3099,4.88,0.12,0
Night_002,24,0.3239,4.83,0.069,0
Night_002,25,0.338,4.51,0.042,1
Night_002,26,0.3521,4.5,0.008,0
Night_002,27,0.3662,4.37,0.029,0
Night_002,28,0.3803,4.74,0.023,0
Night_002,29,0.3944,4.18,0.022,0
Night_002,30,0.4085,4.18,0.054,0
Night_002,31,0.4225,4.5,0.117,0
Night_002,32,0.4366,4.05,0.153,0
Night_002,33,0.4507,4.24,0.169,0
Night_002,34,0.4648,3.98,0.06,0
Night_002,35,0.4789,3.99,0.002,0
Night_002,36,0.493,3.54,0.0,1
Night_002,37,0.507,3.66,0.0,0
Night_002,38,0.5211,3.58,0.0,2
Night_002,39,0.5352,3.09,0.0,0
Night_002,40,0.5493,3.2,0.011,0
Night_002,41,0.5634,3.22,0.096,0
Night_002,42,0.5775,3.47,0.167,0
Night_002,43,0.5915,2.95,0.257,0
Night_002,44,0.6056,3.29,0.305,1
Night_002,45,0.6197,3.13,0.186,1
Night_002,46,0.6338,2.79,0.22,0
Night_002,47,0.6479,2.95,0.233,0
Night_002,48,0.662,3.01,0.237,2
Night_002,49,0.6761,2.78,0.274,0
Night_002,50,0.6901,2.61,0.351,0
Night_002,51,0.7042,2.53,0.366,0
Night_002,52,0.7183,2.03,0.3,1
Night_002,53,0.7324,1.84,0.206,0
Night_002,54,0.7465,2.29,0.223,0
Night_002,55,0.7606,2.27,0.219,0
Night_002,56,0.7746,1.71,0.13,0
Night_002,57,0.7887,2.12,0.133,1
Night_002,58,0.8028,1.84,0.122,0
Night_002,59,0.8169,1.53,0.032,0
Night_002,60,0.831,1.89,0.115,2
Night_002,61,0.8451,1.46,0.107,0
Night_002,62,0.8592,1.47,0.079,0
Night_002,63,0.8732,2.04,0.137,0
Night_002,64,0.8873,1.36,0.115,0
Night_002,65,0.9014,1.58,0.165,0
Night_002,66,0.9155,1.61,0.225,0
Night_002,67,0.9296,1.95,0.238,0
Night_002,68,0.9437,1.57,0.255,1
Night_002,69,0.9577,1.78,0.226,0
Night_002,70,0.9718,1.47,0.302,1
Night_002,71,0.9859,1.17,0.307,0
Night_002,72,1.0,1.68,0.275,0
Night_003,1,0.0,4.6,0.406,1
Night_003,2,0.0141,4.26,0.432,0
