Visit_ID,Flower_ID,Visitor_Group,Hidden_Flower_Context,Hidden_Visit_Mode,Hidden_Visit_Mode_Label,Dwell_Time_s,Entry_Depth,Contact_Fit,Landing_Distance_From_Contact_Zone,Contact_Zone_Closeness,Recurrence_Score,Landing_X,Landing_Y,Capsule_Probability_Synthetic,Capsule_Outcome,Flower_Visitor
1,51,Moth,surface_heavy,brief_visit,brief visit,2.137,0.17,0.327,0.766,0.0,0.446,-0.275,-0.48,0.173,No capsule,Flower 51 :: Moth
2,80,Bumblebee,mixed,brief_visit,brief visit,0.592,0.273,0.196,0.176,0.766,0.503,0.095,-0.061,0.353,No capsule,Flower 80 :: Bumblebee
3,73,Bumblebee,mixed,shallow_entry,shallow entry visit,5.975,0.597,0.086,0.244,0.675,0.638,0.153,-0.087,0.509,Capsule formed,Flower 73 :: Bumblebee
4,47,Small native bee,mixed,shallow_entry,shallow entry visit,2.939,0.524,0.377,0.263,0.649,0.455,0.04,0.214,0.533,Capsule formed,Flower 47 :: Small native bee
5,84,Hoverfly,high_contact,deep_contact,deep contact visit,12.722,0.98,0.891,0.136,0.819,0.776,0.026,0.017,0.817,Capsule formed,Flower 84 :: Hoverfly
6,68,Bumblebee,high_contact,deep_contact,deep contact visit,11.4,0.934,0.913,0.19,0.746,0.758,-0.121,0.074,0.799,Capsule formed,Flower 68 :: Bumblebee
7,87,Moth,mixed,shallow_entry,shallow entry visit,6.848,0.336,0.288,0.274,0.635,0.338,-0.021,0.036,0.497,Capsule formed,Flower 87 :: Moth
8,57,Hoverfly,mixed,shallow_entry,shallow entry visit,6.248,0.429,0.474,0.448,0.403,0.514,-0.006,0.086,0.423,No capsule,Flower 57 :: Hoverfly
9,9,Bumblebee,high_contact,deep_contact,deep contact visit,13.578,0.794,0.917,0.149,0.802,0.719,0.041,0.104,0.819,No capsule,Flower 9 :: Bumblebee
10,34,Small native bee,mixed,deep_contact,deep contact visit,12.605,0.92,0.786,0.083,0.889,0.759,-0.047,0.006,0.44,Capsule formed,Flower 34 :: Small native bee
11,73,Hoverfly,mixed,shallow_entry,shallow entry visit,8.092,0.523,0.529,0.331,0.559,0.953,0.063,-0.381,0.509,Capsule formed,Flower 73 :: Hoverfly
12,58,Beetle,mixed,deep_contact,deep contact visit,14.55,0.712,0.772,0.002,0.997,0.416,0.06,0.127,0.458,No capsule,Flower 58 :: Beetle
13,73,Bumblebee,mixed,brief_visit,brief visit,1.941,0.133,0.197,0.574,0.234,0.577,0.274,0.003,0.509,Capsule formed,Flower 73 :: Bumblebee
14,2,Small native bee,surface_heavy,shallow_entry,shallow entry visit,6.054,0.518,0.369,0.327,0.564,0.533,0.079,0.129,0.136,Capsule formed,Flower 2 :: Small native bee
15,60,Moth,mixed,shallow_entry,shallow entry visit,1.499,0.339,0.517,0.239,0.682,0.48,0.296,0.219,0.481,No capsule,Flower 60 :: Moth
16,4,Bumblebee,brief_heavy,deep_contact,deep contact visit,11.594,0.948,0.866,0.044,0.941,0.652,-0.113,0.0,0.121,No capsule,Flower 4 :: Bumblebee
17,23,Beetle,mixed,brief_visit,brief visit,0.863,0.219,0.077,0.524,0.301,0.324,-0.659,0.254,0.387,No capsule,Flower 23 :: Beetle
18,7,Bumblebee,surface_heavy,brief_visit,brief visit,1.409,0.223,0.145,0.492,0.344,0.603,0.475,-0.203,0.17,No capsule,Flower 7 :: Bumblebee
19,58,Beetle,mixed,surface_wander,surface wandering visit,10.786,0.195,0.187,0.639,0.148,0.554,0.382,-0.18,0.458,No capsule,Flower 58 :: Beetle
20,24,Small native bee,surface_heavy,surface_wander,surface wandering visit,8.833,0.158,0.231,0.438,0.416,0.289,-0.821,-0.524,0.118,No capsule,Flower 24 :: Small native bee
21,3,Small native bee,high_contact,deep_contact,deep contact visit,14.123,0.763,0.884,0.068,0.91,0.617,0.037,0.136,0.873,Capsule formed,Flower 3 :: Small native bee
22,73,Hoverfly,mixed,shallow_entry,shallow entry visit,5.711,0.732,0.449,0.428,0.43,0.729,0.205,-0.03,0.509,Capsule formed,Flower 73 :: Hoverfly
23,53,Beetle,high_contact,deep_contact,deep contact visit,10.012,0.893,0.936,0.11,0.853,0.457,0.061,0.052,0.9,Capsule formed,Flower 53 :: Beetle
24,28,Beetle,surface_heavy,deep_contact,deep contact visit,7.619,0.72,0.955,0.139,0.814,0.422,-0.115,-0.187,0.18,No capsule,Flower 28 :: Beetle
25,87,Ant,mixed,surface_wander,surface wandering visit,6.601,0.202,0.044,0.529,0.294,0.582,-0.245,0.029,0.497,Capsule formed,Flower 87 :: Ant
26,53,Bumblebee,high_contact,deep_contact,deep contact visit,13.685,0.97,0.792,0.041,0.945,0.807,0.003,0.206,0.9,Capsule formed,Flower 53 :: Bumblebee
27,38,Bumblebee,mixed,surface_wander,surface wandering visit,8.646,0.301,0.164,0.42,0.44,0.486,-0.089,-0.654,0.453,No capsule,Flower 38 :: Bumblebee
28,24,Hoverfly,surface_heavy,surface_wander,surface wandering visit,2.014,0.089,0.031,0.44,0.414,0.67,-0.272,-0.273,0.118,No capsule,Flower 24 :: Hoverfly
29,72,Bumblebee,high_contact,deep_contact,deep contact visit,13.284,0.893,0.887,0.121,0.839,0.724,0.203,0.072,0.784,Capsule formed,Flower 72 :: Bumblebee
30,83,Hoverfly,high_contact,shallow_entry,shallow entry visit,3.46,0.313,0.411,0.307,0.591,0.725,-0.038,0.142,0.818,No capsule,Flower 83 :: Hoverfly
31,15,Bumblebee,brief_heavy,brief_visit,brief visit,2.311,0.199,0.044,0.405,0.46,0.591,-0.324,-0.012,0.159,No capsule,Flower 15 :: Bumblebee
32,89,Hoverfly,mixed,shallow_entry,shallow entry visit,5.245,0.464,0.107,0.143,0.81,0.691,-0.093,0.109,0.547,No capsule,Flower 89 :: Hoverfly
33,68,Hoverfly,high_contact,deep_contact,deep contact visit,12.294,0.969,0.774,0.104,0.862,0.946,-0.129,-0.035,0.799,Capsule formed,Flower 68 :: Hoverfly
34,73,Hoverfly,mixed,brief_visit,brief visit,2.081,0.003,0.201,0.293,0.609,0.813,-0.226,-0.309,0.509,Capsule formed,Flower 73 :: Hoverfly
35,85,Moth,high_contact,deep_contact,deep contact visit,8.26,0.883,0.788,0.103,0.863,0.426,0.06,0.007,0.816,Capsule formed,Flower 85 :: Moth
36,68,Moth,high_contact,deep_contact,deep contact visit,10.511,0.956,0.829,0.092,0.878,0.562,-0.036,0.122,0.799,Capsule formed,Flower 68 :: Moth
37,39,Moth,brief_heavy,brief_visit,brief visit,1.12,0.0,0.289,0.981,0.0,0.351,-0.697,-0.192,0.073,No capsule,Flower 39 :: Moth
38,23,Moth,mixed,deep_contact,deep contact visit,13.017,0.882,0.755,0.128,0.829,0.704,0.035,0.05,0.387,No capsule,Flower 23 :: Moth
39,11,Hoverfly,brief_heavy,brief_visit,brief visit,0.947,0.007,0.173,0.334,0.555,0.882,-0.063,0.52,0.135,No capsule,Flower 11 :: Hoverfly
40,5,Bumblebee,high_contact,deep_contact,deep contact visit,9.975,0.854,0.945,0.072,0.904,0.565,0.018,-0.001,0.859,Capsule formed,Flower 5 :: Bumblebee
41,24,Moth,surface_heavy,shallow_entry,shallow entry visit,2.792,0.478,0.352,0.012,0.984,0.538,0.149,-0.148,0.118,No capsule,Flower 24 :: Moth
42,20,Small native bee,high_contact,deep_contact,deep contact visit,16.803,0.874,0.887,0.081,0.892,0.705,0.076,0.193,0.693,No capsule,Flower 20 :: Small native bee
43,65,Moth,brief_heavy,brief_visit,brief visit,1.573,0.132,0.223,0.75,0.0,0.345,0.297,-0.217,0.131,No capsule,Flower 65 :: Moth
44,3,Ant,high_contact,deep_contact,deep contact visit,10.157,0.654,0.793,0.04,0.947,0.714,0.12,0.058,0.873,Capsule formed,Flower 3 :: Ant
45,9,Small native bee,high_contact,deep_contact,deep contact visit,9.75,0.767,0.899,0.078,0.896,0.692,0.019,0.143,0.819,No capsule,Flower 9 :: Small native bee
46,80,Bumblebee,mixed,shallow_entry,shallow entry visit,3.511,0.232,0.509,0.231,0.691,0.518,0.083,0.183,0.353,No capsule,Flower 80 :: Bumblebee
47,20,Hoverfly,high_contact,shallow_entry,shallow entry visit,8.33,0.454,0.52,0.145,0.807,0.608,0.181,-0.01,0.693,No capsule,Flower 20 :: Hoverfly
