plot_id,flood_depth_cm,flood_duration_days,slope_degrees,sediment_depth_cm,infiltration_rate_cm_hr,flood_depth_group
P001,31.6,1.1,0.5,0.0,8.96,Low
P002,116.5,17.1,9.7,9.6,3.27,High
P003,146.6,26.3,0.3,8.1,0.25,High
P004,88.7,11.9,13.4,7.8,3.2,Moderate
P005,92.6,12.6,2.1,1.6,5.82,Moderate
P006,67.6,19.7,7.3,4.8,4.15,Moderate
P007,101.5,11.7,17.6,2.0,5.02,High
P008,35.1,4.7,0.3,2.9,7.32,Low
P009,94.4,23.3,6.9,5.2,3.54,Moderate
P010,43.2,2.7,8.3,3.6,7.11,Low
P011,82.6,1.0,13.6,2.8,6.2,Moderate
P012,95.6,10.8,23.3,1.9,4.81,Moderate
P013,128.4,17.4,2.3,6.6,2.68,High
P014,72.3,15.9,16.0,7.5,4.79,Moderate
P015,120.6,19.0,0.3,11.0,0.72,High
P016,72.6,20.7,12.2,5.8,4.99,Moderate
P017,63.3,11.1,2.8,4.3,4.53,Moderate
P018,62.8,13.6,5.6,4.0,4.72,Moderate
P019,128.3,13.2,6.9,3.6,3.79,High
P020,56.3,14.3,11.6,3.6,5.02,Moderate
P021,150.2,17.6,0.3,5.9,1.49,High
P022,56.0,8.9,8.2,1.9,6.56,Moderate
P023,53.6,20.8,9.4,3.5,6.2,Moderate
P024,36.6,7.5,0.9,0.2,7.31,Low
P025,72.5,11.2,4.1,2.9,5.11,Moderate
P026,70.8,5.7,5.4,2.5,4.87,Moderate
P027,63.5,1.9,4.6,2.1,7.09,Moderate
P028,99.9,13.0,2.4,8.1,3.42,Moderate
P029,64.7,7.4,0.3,2.8,6.52,Moderate
P030,80.6,11.8,7.5,2.9,5.78,Moderate
P031,30.9,7.3,2.5,0.0,9.08,Low
P032,113.4,3.7,22.8,5.4,4.37,High
P033,68.7,23.6,18.5,3.1,5.2,Moderate
P034,124.6,19.0,0.6,10.4,1.29,High
P035,64.5,7.1,6.9,5.3,6.71,Moderate
P036,84.2,5.6,19.8,0.1,5.56,Moderate
P037,106.1,14.6,2.5,6.8,2.92,High
P038,108.2,13.6,6.1,3.1,4.63,High
P039,110.7,9.7,21.1,4.8,5.72,High
P040,56.9,1.0,5.9,3.6,7.62,Moderate
P041,60.2,17.6,11.2,5.9,5.45,Moderate
P042,86.0,15.3,0.3,0.7,5.83,Moderate
P043,101.3,12.4,8.8,3.0,4.99,High
P044,46.5,20.8,8.7,2.4,4.29,Low
P045,55.0,10.5,8.2,6.3,6.14,Moderate
