Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,23.7
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,52.4
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,43.3
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,41.2
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,41.3
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,38.8
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,71.2
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,62.9
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,55.8
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,49.2
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,2.9
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,8.9
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,36.5
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,62.9
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,37.5
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,42.0
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,49.1
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,33.2
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,78.3
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,80.1
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,30.5
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,44.2
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,11.0
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,21.2
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,37.1
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,39.7
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,30.8
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,50.8
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,61.9
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,53.3
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,23.4
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,36.5
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,40.1
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,41.2
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,34.0
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,35.7
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,51.2
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,74.5
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,57.5
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,63.5
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,25.4
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,33.8
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,59.7
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,63.8
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,49.4
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,31.3
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,41.3
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,34.6
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,86.3
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,90.8
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,33.1
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,17.5
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,42.5
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,45.0
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,38.7
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,42.2
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,41.4
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,43.3
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,71.2
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,94.0
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,3.2
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,21.2
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,46.0
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,51.0
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,32.1
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,30.4
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,45.0
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,55.6
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,67.5
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,86.8
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,30.0
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,17.7
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,36.1
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,40.1
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,42.4
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,43.5
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,44.2
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,68.1
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,59.6
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,61.6
