Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,29.9
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,53.6
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,43.6
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,73.9
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,50.8
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,39.0
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,67.0
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,73.0
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,90.3
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,63.6
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,14.0
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,20.1
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,48.5
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,82.0
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,60.4
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,43.6
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,50.2
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,51.9
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,91.3
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,105.8
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,29.9
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,37.4
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,31.9
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,64.7
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,57.7
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,44.5
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,37.6
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,59.9
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,98.3
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,61.0
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,31.2
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,43.8
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,47.2
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,71.5
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,55.4
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,49.4
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,52.5
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,82.1
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,74.4
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,70.8
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,42.1
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,40.8
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,74.4
