Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,13.1
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,27.9
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,28.4
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,53.0
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,33.7
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,15.8
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,54.4
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,50.3
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,64.6
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,43.8
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,0.5
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,0.5
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,31.9
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,57.4
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,41.9
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,23.0
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,34.9
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,24.8
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,70.7
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,88.3
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,5.5
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,14.8
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,10.6
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,32.0
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,46.4
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,23.0
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,16.7
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,36.9
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,75.0
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,40.8
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,15.7
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,18.8
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,34.7
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,47.5
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,41.6
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,23.8
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,33.4
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,63.5
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,63.8
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,52.7
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,15.1
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,17.0
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,54.4
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,62.4
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,54.4
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,13.6
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,30.9
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,28.7
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,93.2
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,80.4
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,14.7
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,6.1
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,31.3
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,52.1
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,27.3
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,27.3
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,28.5
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,32.8
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,70.1
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,82.7
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,0.5
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,14.2
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,23.7
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,61.7
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,32.0
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,22.8
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,35.8
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,37.9
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,85.7
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,83.0
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,5.3
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,11.4
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,32.3
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,49.8
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,38.9
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,16.4
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,32.1
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,59.6
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,70.0
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,66.8
