Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,0.5
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,23.9
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,28.1
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,64.7
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,54.8
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,35.0
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,49.3
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,42.3
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,67.5
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,46.0
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,2.1
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,8.1
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,25.2
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,53.3
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,24.6
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,37.9
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,60.6
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,43.6
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,67.0
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,80.6
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,0.5
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,49.0
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,11.1
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,54.8
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,37.5
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,16.1
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,23.2
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,61.5
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,89.5
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,42.9
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,17.7
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,15.3
