Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,30.0
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,47.1
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,41.7
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,71.8
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,42.8
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,27.1
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,64.4
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,57.7
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,81.9
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,53.6
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,4.4
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,7.0
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,35.6
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,74.8
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,38.4
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,41.1
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,47.7
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,34.4
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,85.8
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,93.8
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,18.2
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,33.2
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,30.9
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,42.8
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,51.4
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,36.0
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,28.3
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,52.2
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,88.4
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,49.3
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,20.6
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,28.4
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,37.7
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,55.5
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,52.1
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,33.8
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,45.1
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,70.9
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,78.6
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,58.2
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,22.4
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,29.8
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,61.3
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,76.1
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,57.9
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,20.0
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,47.1
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,38.4
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,107.1
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,91.0
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,34.4
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,17.9
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,42.1
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,53.8
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,44.3
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,39.1
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,29.6
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,38.8
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,87.3
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,97.7
