Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,50.5
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,70.7
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,28.4
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,55.4
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,53.5
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,40.8
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,85.4
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,65.4
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,70.5
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,54.6
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,11.6
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,0.5
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,30.8
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,78.8
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,50.2
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,26.7
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,20.5
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,37.4
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,99.9
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,103.7
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,4.4
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,13.4
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,0.5
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,47.5
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,44.0
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,73.0
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,44.1
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,33.0
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,72.4
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,77.9
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,25.0
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,23.6
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,44.1
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,68.0
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,53.5
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,5.9
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,31.3
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,82.0
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,97.2
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,69.6
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,0.5
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,48.2
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,52.9
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,102.8
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,66.4
