Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,9.8
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,44.4
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,36.1
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,64.6
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,42.0
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,20.6
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,38.2
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,38.4
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,57.1
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,34.4
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,4.8
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,1.7
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,49.0
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,64.7
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,46.1
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,29.2
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,26.9
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,18.6
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,72.0
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,72.6
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,28.2
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,27.4
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,12.1
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,57.9
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,55.7
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,24.4
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,10.7
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,38.4
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,89.9
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,35.1
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,24.1
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,35.2
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,53.2
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,69.4
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,44.3
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,27.0
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,25.7
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,58.3
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,59.4
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,54.7
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,25.2
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,32.1
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,65.3
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,84.3
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,63.8
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,12.4
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,39.4
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,26.2
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,88.5
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,88.1
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,29.1
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,10.1
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,40.7
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,65.7
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,35.4
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,20.5
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,18.3
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,33.8
