Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Aster Lake,May,Developed shoreline,Before storm,Mild,22.4,24.0
Birch Lake,June,Developed shoreline,Before storm,Moderate,41.9,33.3
Cedar Lake,July,Developed shoreline,Before storm,Moderate,36.9,38.3
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,63.9,46.7
Eagle Lake,September,Isolated shoreline,Before storm,Moderate,44.9,46.3
Fern Lake,May,Isolated shoreline,After storm,Moderate,32.7,38.3
Goldenrod Lake,June,Developed shoreline,After storm,Severe,62.2,49.3
Heron Lake,July,Developed shoreline,After storm,Severe,62.5,44.0
Ironwood Lake,August,Developed shoreline,After storm,Severe,80.7,40.3
Juniper Lake,September,Isolated shoreline,After storm,Severe,55.7,40.1
Kingfisher Lake,May,Isolated shoreline,Before storm,Mild,7.6,0.5
Loon Lake,June,Isolated shoreline,Before storm,Mild,8.0,14.0
Maple Lake,July,Developed shoreline,Before storm,Moderate,42.0,36.0
Nettle Lake,August,Developed shoreline,Before storm,Severe,70.7,42.5
Otter Lake,September,Developed shoreline,Before storm,Moderate,50.4,60.1
Prairie Lake,May,Isolated shoreline,After storm,Moderate,37.3,38.1
Quill Lake,June,Isolated shoreline,After storm,Moderate,42.8,33.5
Riverbend Lake,July,Isolated shoreline,After storm,Moderate,38.5,34.6
Sedge Lake,August,Developed shoreline,After storm,Severe,85.8,56.8
Tamarack Lake,September,Developed shoreline,After storm,Severe,95.2,72.0
Umbrella Lake,May,Developed shoreline,Before storm,Mild,18.1,7.1
Violet Lake,June,Isolated shoreline,Before storm,Moderate,29.3,34.9
Willow Lake,July,Isolated shoreline,Before storm,Mild,17.3,22.6
Xenia Lake,August,Isolated shoreline,Before storm,Moderate,46.0,44.3
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,47.9,40.6
Aster Lake,May,Developed shoreline,After storm,Moderate,32.4,26.2
Birch Lake,June,Developed shoreline,After storm,Moderate,31.1,39.6
Cedar Lake,July,Isolated shoreline,After storm,Moderate,52.5,54.5
Dragonfly Lake,August,Isolated shoreline,After storm,Severe,89.7,70.3
Eagle Lake,September,Isolated shoreline,After storm,Moderate,49.6,44.3
Fern Lake,May,Developed shoreline,Before storm,Mild,22.4,23.9
Goldenrod Lake,June,Developed shoreline,Before storm,Moderate,35.6,33.7
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,38.8
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,47.5
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,44.4
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,27.5
