penguin_id,species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
P001,Adelie,Torgersen,male,2007,39.1,18.7,181.0,3750.0
P002,Adelie,Torgersen,female,2007,39.5,17.4,186.0,3800.0
P003,Adelie,Torgersen,female,2007,40.3,18.0,195.0,3250.0
P004,Adelie,Torgersen,female,2007,36.7,19.3,193.0,3450.0
P005,Adelie,Torgersen,male,2007,39.3,20.6,190.0,3650.0
P006,Adelie,Torgersen,female,2007,38.9,17.8,181.0,3625.0
P007,Adelie,Torgersen,male,2007,39.2,19.6,195.0,4675.0
P008,Adelie,Torgersen,unknown,2007,34.1,18.1,193.0,3475.0
P009,Adelie,Torgersen,unknown,2007,42.0,20.2,190.0,4250.0
P010,Adelie,Torgersen,unknown,2007,37.8,17.1,186.0,3300.0
P011,Adelie,Torgersen,unknown,2007,37.8,17.3,180.0,3700.0
P012,Adelie,Torgersen,female,2007,41.1,17.6,182.0,3200.0
P013,Adelie,Torgersen,male,2007,38.6,21.2,191.0,3800.0
P014,Adelie,Torgersen,male,2007,34.6,21.1,198.0,4400.0
P015,Adelie,Torgersen,female,2007,36.6,17.8,185.0,3700.0
P016,Adelie,Torgersen,female,2007,38.7,19.0,195.0,3450.0
P017,Adelie,Torgersen,male,2007,42.5,20.7,197.0,4500.0
P018,Adelie,Torgersen,female,2007,34.4,18.4,184.0,3325.0
P019,Adelie,Torgersen,male,2007,46.0,21.5,194.0,4200.0
P020,Adelie,Biscoe,female,2007,37.8,18.3,174.0,3400.0
P021,Adelie,Biscoe,male,2007,37.7,18.7,180.0,3600.0
P022,Adelie,Biscoe,female,2007,35.9,19.2,189.0,3800.0
P023,Adelie,Biscoe,male,2007,38.2,18.1,185.0,3950.0
P024,Adelie,Biscoe,male,2007,38.8,17.2,180.0,3800.0
P025,Adelie,Biscoe,female,2007,35.3,18.9,187.0,3800.0
P026,Adelie,Biscoe,male,2007,40.6,18.6,183.0,3550.0
P027,Adelie,Biscoe,female,2007,40.5,17.9,187.0,3200.0
P028,Adelie,Biscoe,female,2007,37.9,18.6,172.0,3150.0
P029,Adelie,Biscoe,male,2007,40.5,18.9,180.0,3950.0
P030,Adelie,Dream,female,2007,39.5,16.7,178.0,3250.0
P031,Adelie,Dream,male,2007,37.2,18.1,178.0,3900.0
P032,Adelie,Dream,female,2007,39.5,17.8,188.0,3300.0
P033,Adelie,Dream,male,2007,40.9,18.9,184.0,3900.0
P034,Adelie,Dream,female,2007,36.4,17.0,195.0,3325.0
P035,Adelie,Dream,male,2007,39.2,21.1,196.0,4150.0
P036,Adelie,Dream,male,2007,38.8,20.0,190.0,3950.0
P037,Adelie,Dream,female,2007,42.2,18.5,180.0,3550.0
P038,Adelie,Dream,female,2007,37.6,19.3,181.0,3300.0
P039,Adelie,Dream,male,2007,39.8,19.1,184.0,4650.0
P040,Adelie,Dream,female,2007,36.5,18.0,182.0,3150.0
P041,Adelie,Dream,male,2007,40.8,18.4,195.0,3900.0
P042,Adelie,Dream,female,2007,36.0,18.5,186.0,3100.0
P043,Adelie,Dream,male,2007,44.1,19.7,196.0,4400.0
P044,Adelie,Dream,female,2007,37.0,16.9,185.0,3000.0
P045,Adelie,Dream,male,2007,39.6,18.8,190.0,4600.0
P046,Adelie,Dream,male,2007,41.1,19.0,182.0,3425.0
P047,Adelie,Dream,unknown,2007,37.5,18.9,179.0,2975.0
P048,Adelie,Dream,female,2007,36.0,17.9,190.0,3450.0
P049,Adelie,Dream,male,2007,42.3,21.2,191.0,4150.0
P050,Adelie,Biscoe,female,2008,39.6,17.7,186.0,3500.0
P051,Adelie,Biscoe,male,2008,40.1,18.9,188.0,4300.0
P052,Adelie,Biscoe,female,2008,35.0,17.9,190.0,3450.0
P053,Adelie,Biscoe,male,2008,42.0,19.5,200.0,4050.0
P054,Adelie,Biscoe,female,2008,34.5,18.1,187.0,2900.0
P055,Adelie,Biscoe,male,2008,41.4,18.6,191.0,3700.0
P056,Adelie,Biscoe,female,2008,39.0,17.5,186.0,3550.0
P057,Adelie,Biscoe,male,2008,40.6,18.8,193.0,3800.0
P058,Adelie,Biscoe,female,2008,36.5,16.6,181.0,2850.0
P059,Adelie,Biscoe,male,2008,37.6,19.1,194.0,3750.0
P060,Adelie,Biscoe,female,2008,35.7,16.9,185.0,3150.0
P061,Adelie,Biscoe,male,2008,41.3,21.1,195.0,4400.0
P062,Adelie,Biscoe,female,2008,37.6,17.0,185.0,3600.0
P063,Adelie,Biscoe,male,2008,41.1,18.2,192.0,4050.0
P064,Adelie,Biscoe,female,2008,36.4,17.1,184.0,2850.0
P065,Adelie,Biscoe,male,2008,41.6,18.0,192.0,3950.0
P066,Adelie,Biscoe,female,2008,35.5,16.2,195.0,3350.0
P067,Adelie,Biscoe,male,2008,41.1,19.1,188.0,4100.0
P068,Adelie,Torgersen,female,2008,35.9,16.6,190.0,3050.0
P069,Adelie,Torgersen,male,2008,41.8,19.4,198.0,4450.0
P070,Adelie,Torgersen,female,2008,33.5,19.0,190.0,3600.0
P071,Adelie,Torgersen,male,2008,39.7,18.4,190.0,3900.0
P072,Adelie,Torgersen,female,2008,39.6,17.2,196.0,3550.0
P073,Adelie,Torgersen,male,2008,45.8,18.9,197.0,4150.0
P074,Adelie,Torgersen,female,2008,35.5,17.5,190.0,3700.0
P075,Adelie,Torgersen,male,2008,42.8,18.5,195.0,4250.0
P076,Adelie,Torgersen,female,2008,40.9,16.8,191.0,3700.0
P077,Adelie,Torgersen,male,2008,37.2,19.4,184.0,3900.0
P078,Adelie,Torgersen,female,2008,36.2,16.1,187.0,3550.0
P079,Adelie,Torgersen,male,2008,42.1,19.1,195.0,4000.0
P080,Adelie,Torgersen,female,2008,34.6,17.2,189.0,3200.0
P081,Adelie,Torgersen,male,2008,42.9,17.6,196.0,4700.0
P082,Adelie,Torgersen,female,2008,36.7,18.8,187.0,3800.0
P083,Adelie,Torgersen,male,2008,35.1,19.4,193.0,4200.0
P084,Adelie,Dream,female,2008,37.3,17.8,191.0,3350.0
P085,Adelie,Dream,male,2008,41.3,20.3,194.0,3550.0
P086,Adelie,Dream,male,2008,36.3,19.5,190.0,3800.0
P087,Adelie,Dream,female,2008,36.9,18.6,189.0,3500.0
P088,Adelie,Dream,male,2008,38.3,19.2,189.0,3950.0
P089,Adelie,Dream,female,2008,38.9,18.8,190.0,3600.0
P090,Adelie,Dream,female,2008,35.7,18.0,202.0,3550.0
P091,Adelie,Dream,male,2008,41.1,18.1,205.0,4300.0
P092,Adelie,Dream,female,2008,34.0,17.1,185.0,3400.0
P093,Adelie,Dream,male,2008,39.6,18.1,186.0,4450.0
P094,Adelie,Dream,female,2008,36.2,17.3,187.0,3300.0
P095,Adelie,Dream,male,2008,40.8,18.9,208.0,4300.0
P096,Adelie,Dream,female,2008,38.1,18.6,190.0,3700.0
P097,Adelie,Dream,male,2008,40.3,18.5,196.0,4350.0
P098,Adelie,Dream,female,2008,33.1,16.1,178.0,2900.0
P099,Adelie,Dream,male,2008,43.2,18.5,192.0,4100.0
P100,Adelie,Biscoe,female,2009,35.0,17.9,192.0,3725.0
P101,Adelie,Biscoe,male,2009,41.0,20.0,203.0,4725.0
P102,Adelie,Biscoe,female,2009,37.7,16.0,183.0,3075.0
P103,Adelie,Biscoe,male,2009,37.8,20.0,190.0,4250.0
P104,Adelie,Biscoe,female,2009,37.9,18.6,193.0,2925.0
P105,Adelie,Biscoe,male,2009,39.7,18.9,184.0,3550.0
P106,Adelie,Biscoe,female,2009,38.6,17.2,199.0,3750.0
P107,Adelie,Biscoe,male,2009,38.2,20.0,190.0,3900.0
P108,Adelie,Biscoe,female,2009,38.1,17.0,181.0,3175.0
P109,Adelie,Biscoe,male,2009,43.2,19.0,197.0,4775.0
P110,Adelie,Biscoe,female,2009,38.1,16.5,198.0,3825.0
P111,Adelie,Biscoe,male,2009,45.6,20.3,191.0,4600.0
P112,Adelie,Biscoe,female,2009,39.7,17.7,193.0,3200.0
P113,Adelie,Biscoe,male,2009,42.2,19.5,197.0,4275.0
P114,Adelie,Biscoe,female,2009,39.6,20.7,191.0,3900.0
P115,Adelie,Biscoe,male,2009,42.7,18.3,196.0,4075.0
P116,Adelie,Torgersen,female,2009,38.6,17.0,188.0,2900.0
P117,Adelie,Torgersen,male,2009,37.3,20.5,199.0,3775.0
P118,Adelie,Torgersen,female,2009,35.7,17.0,189.0,3350.0
P119,Adelie,Torgersen,male,2009,41.1,18.6,189.0,3325.0
P120,Adelie,Torgersen,female,2009,36.2,17.2,187.0,3150.0
P121,Adelie,Torgersen,male,2009,37.7,19.8,198.0,3500.0
P122,Adelie,Torgersen,female,2009,40.2,17.0,176.0,3450.0
P123,Adelie,Torgersen,male,2009,41.4,18.5,202.0,3875.0
P124,Adelie,Torgersen,female,2009,35.2,15.9,186.0,3050.0
P125,Adelie,Torgersen,male,2009,40.6,19.0,199.0,4000.0
P126,Adelie,Torgersen,female,2009,38.8,17.6,191.0,3275.0
P127,Adelie,Torgersen,male,2009,41.5,18.3,195.0,4300.0
P128,Adelie,Torgersen,female,2009,39.0,17.1,191.0,3050.0
P129,Adelie,Torgersen,male,2009,44.1,18.0,210.0,4000.0
P130,Adelie,Torgersen,female,2009,38.5,17.9,190.0,3325.0
P131,Adelie,Torgersen,male,2009,43.1,19.2,197.0,3500.0
P132,Adelie,Dream,female,2009,36.8,18.5,193.0,3500.0
P133,Adelie,Dream,male,2009,37.5,18.5,199.0,4475.0
P134,Adelie,Dream,female,2009,38.1,17.6,187.0,3425.0
P135,Adelie,Dream,male,2009,41.1,17.5,190.0,3900.0
P136,Adelie,Dream,female,2009,35.6,17.5,191.0,3175.0
P137,Adelie,Dream,male,2009,40.2,20.1,200.0,3975.0
P138,Adelie,Dream,female,2009,37.0,16.5,185.0,3400.0
P139,Adelie,Dream,male,2009,39.7,17.9,193.0,4250.0
P140,Adelie,Dream,female,2009,40.2,17.1,193.0,3400.0
P141,Adelie,Dream,male,2009,40.6,17.2,187.0,3475.0
P142,Adelie,Dream,female,2009,32.1,15.5,188.0,3050.0
P143,Adelie,Dream,male,2009,40.7,17.0,190.0,3725.0
P144,Adelie,Dream,female,2009,37.3,16.8,192.0,3000.0
P145,Adelie,Dream,male,2009,39.0,18.7,185.0,3650.0
P146,Adelie,Dream,male,2009,39.2,18.6,190.0,4250.0
P147,Adelie,Dream,female,2009,36.6,18.4,184.0,3475.0
P148,Adelie,Dream,female,2009,36.0,17.8,195.0,3450.0
P149,Adelie,Dream,male,2009,37.8,18.1,193.0,3750.0
P150,Adelie,Dream,female,2009,36.0,17.1,187.0,3700.0
P151,Adelie,Dream,male,2009,41.5,18.5,201.0,4000.0
P152,Gentoo,Biscoe,female,2007,46.1,13.2,211.0,4500.0
P153,Gentoo,Biscoe,male,2007,50.0,16.3,230.0,5700.0
P154,Gentoo,Biscoe,female,2007,48.7,14.1,210.0,4450.0
P155,Gentoo,Biscoe,male,2007,50.0,15.2,218.0,5700.0
P156,Gentoo,Biscoe,male,2007,47.6,14.5,215.0,5400.0
P157,Gentoo,Biscoe,female,2007,46.5,13.5,210.0,4550.0
P158,Gentoo,Biscoe,female,2007,45.4,14.6,211.0,4800.0
P159,Gentoo,Biscoe,male,2007,46.7,15.3,219.0,5200.0
P160,Gentoo,Biscoe,female,2007,43.3,13.4,209.0,4400.0
P161,Gentoo,Biscoe,male,2007,46.8,15.4,215.0,5150.0
P162,Gentoo,Biscoe,female,2007,40.9,13.7,214.0,4650.0
P163,Gentoo,Biscoe,male,2007,49.0,16.1,216.0,5550.0
P164,Gentoo,Biscoe,female,2007,45.5,13.7,214.0,4650.0
P165,Gentoo,Biscoe,male,2007,48.4,14.6,213.0,5850.0
P166,Gentoo,Biscoe,female,2007,45.8,14.6,210.0,4200.0
P167,Gentoo,Biscoe,male,2007,49.3,15.7,217.0,5850.0
P168,Gentoo,Biscoe,female,2007,42.0,13.5,210.0,4150.0
P169,Gentoo,Biscoe,male,2007,49.2,15.2,221.0,6300.0
P170,Gentoo,Biscoe,female,2007,46.2,14.5,209.0,4800.0
P171,Gentoo,Biscoe,male,2007,48.7,15.1,222.0,5350.0
P172,Gentoo,Biscoe,male,2007,50.2,14.3,218.0,5700.0
P173,Gentoo,Biscoe,female,2007,45.1,14.5,215.0,5000.0
P174,Gentoo,Biscoe,female,2007,46.5,14.5,213.0,4400.0
P175,Gentoo,Biscoe,male,2007,46.3,15.8,215.0,5050.0
P176,Gentoo,Biscoe,female,2007,42.9,13.1,215.0,5000.0
P177,Gentoo,Biscoe,male,2007,46.1,15.1,215.0,5100.0
P178,Gentoo,Biscoe,unknown,2007,44.5,14.3,216.0,4100.0
P179,Gentoo,Biscoe,male,2007,47.8,15.0,215.0,5650.0
P180,Gentoo,Biscoe,female,2007,48.2,14.3,210.0,4600.0
P181,Gentoo,Biscoe,male,2007,50.0,15.3,220.0,5550.0
P182,Gentoo,Biscoe,male,2007,47.3,15.3,222.0,5250.0
P183,Gentoo,Biscoe,female,2007,42.8,14.2,209.0,4700.0
P184,Gentoo,Biscoe,female,2007,45.1,14.5,207.0,5050.0
P185,Gentoo,Biscoe,male,2007,59.6,17.0,230.0,6050.0
P186,Gentoo,Biscoe,female,2008,49.1,14.8,220.0,5150.0
P187,Gentoo,Biscoe,male,2008,48.4,16.3,220.0,5400.0
P188,Gentoo,Biscoe,female,2008,42.6,13.7,213.0,4950.0
P189,Gentoo,Biscoe,male,2008,44.4,17.3,219.0,5250.0
P190,Gentoo,Biscoe,female,2008,44.0,13.6,208.0,4350.0
P191,Gentoo,Biscoe,male,2008,48.7,15.7,208.0,5350.0
P192,Gentoo,Biscoe,female,2008,42.7,13.7,208.0,3950.0
P193,Gentoo,Biscoe,male,2008,49.6,16.0,225.0,5700.0
P194,Gentoo,Biscoe,female,2008,45.3,13.7,210.0,4300.0
P195,Gentoo,Biscoe,male,2008,49.6,15.0,216.0,4750.0
P196,Gentoo,Biscoe,male,2008,50.5,15.9,222.0,5550.0
P197,Gentoo,Biscoe,female,2008,43.6,13.9,217.0,4900.0
P198,Gentoo,Biscoe,female,2008,45.5,13.9,210.0,4200.0
P199,Gentoo,Biscoe,male,2008,50.5,15.9,225.0,5400.0
P200,Gentoo,Biscoe,female,2008,44.9,13.3,213.0,5100.0
P201,Gentoo,Biscoe,male,2008,45.2,15.8,215.0,5300.0
P202,Gentoo,Biscoe,female,2008,46.6,14.2,210.0,4850.0
P203,Gentoo,Biscoe,male,2008,48.5,14.1,220.0,5300.0
P204,Gentoo,Biscoe,female,2008,45.1,14.4,210.0,4400.0
P205,Gentoo,Biscoe,male,2008,50.1,15.0,225.0,5000.0
P206,Gentoo,Biscoe,female,2008,46.5,14.4,217.0,4900.0
P207,Gentoo,Biscoe,male,2008,45.0,15.4,220.0,5050.0
P208,Gentoo,Biscoe,female,2008,43.8,13.9,208.0,4300.0
P209,Gentoo,Biscoe,male,2008,45.5,15.0,220.0,5000.0
P210,Gentoo,Biscoe,female,2008,43.2,14.5,208.0,4450.0
P211,Gentoo,Biscoe,male,2008,50.4,15.3,224.0,5550.0
P212,Gentoo,Biscoe,female,2008,45.3,13.8,208.0,4200.0
P213,Gentoo,Biscoe,male,2008,46.2,14.9,221.0,5300.0
P214,Gentoo,Biscoe,female,2008,45.7,13.9,214.0,4400.0
P215,Gentoo,Biscoe,male,2008,54.3,15.7,231.0,5650.0
P216,Gentoo,Biscoe,female,2008,45.8,14.2,219.0,4700.0
P217,Gentoo,Biscoe,male,2008,49.8,16.8,230.0,5700.0
P218,Gentoo,Biscoe,unknown,2008,46.2,14.4,214.0,4650.0
P219,Gentoo,Biscoe,male,2008,49.5,16.2,229.0,5800.0
P220,Gentoo,Biscoe,female,2008,43.5,14.2,220.0,4700.0
P221,Gentoo,Biscoe,male,2008,50.7,15.0,223.0,5550.0
P222,Gentoo,Biscoe,female,2008,47.7,15.0,216.0,4750.0
P223,Gentoo,Biscoe,male,2008,46.4,15.6,221.0,5000.0
P224,Gentoo,Biscoe,male,2008,48.2,15.6,221.0,5100.0
P225,Gentoo,Biscoe,female,2008,46.5,14.8,217.0,5200.0
P226,Gentoo,Biscoe,female,2008,46.4,15.0,216.0,4700.0
P227,Gentoo,Biscoe,male,2008,48.6,16.0,230.0,5800.0
P228,Gentoo,Biscoe,female,2008,47.5,14.2,209.0,4600.0
P229,Gentoo,Biscoe,male,2008,51.1,16.3,220.0,6000.0
P230,Gentoo,Biscoe,female,2008,45.2,13.8,215.0,4750.0
P231,Gentoo,Biscoe,male,2008,45.2,16.4,223.0,5950.0
P232,Gentoo,Biscoe,female,2009,49.1,14.5,212.0,4625.0
P233,Gentoo,Biscoe,male,2009,52.5,15.6,221.0,5450.0
P234,Gentoo,Biscoe,female,2009,47.4,14.6,212.0,4725.0
P235,Gentoo,Biscoe,male,2009,50.0,15.9,224.0,5350.0
P236,Gentoo,Biscoe,female,2009,44.9,13.8,212.0,4750.0
P237,Gentoo,Biscoe,male,2009,50.8,17.3,228.0,5600.0
P238,Gentoo,Biscoe,female,2009,43.4,14.4,218.0,4600.0
P239,Gentoo,Biscoe,male,2009,51.3,14.2,218.0,5300.0
P240,Gentoo,Biscoe,female,2009,47.5,14.0,212.0,4875.0
P241,Gentoo,Biscoe,male,2009,52.1,17.0,230.0,5550.0
P242,Gentoo,Biscoe,female,2009,47.5,15.0,218.0,4950.0
P243,Gentoo,Biscoe,male,2009,52.2,17.1,228.0,5400.0
P244,Gentoo,Biscoe,female,2009,45.5,14.5,212.0,4750.0
P245,Gentoo,Biscoe,male,2009,49.5,16.1,224.0,5650.0
P246,Gentoo,Biscoe,female,2009,44.5,14.7,214.0,4850.0
P247,Gentoo,Biscoe,male,2009,50.8,15.7,226.0,5200.0
P248,Gentoo,Biscoe,male,2009,49.4,15.8,216.0,4925.0
P249,Gentoo,Biscoe,female,2009,46.9,14.6,222.0,4875.0
P250,Gentoo,Biscoe,female,2009,48.4,14.4,203.0,4625.0
P251,Gentoo,Biscoe,male,2009,51.1,16.5,225.0,5250.0
P252,Gentoo,Biscoe,female,2009,48.5,15.0,219.0,4850.0
P253,Gentoo,Biscoe,male,2009,55.9,17.0,228.0,5600.0
P254,Gentoo,Biscoe,female,2009,47.2,15.5,215.0,4975.0
P255,Gentoo,Biscoe,male,2009,49.1,15.0,228.0,5500.0
P256,Gentoo,Biscoe,unknown,2009,47.3,13.8,216.0,4725.0
P257,Gentoo,Biscoe,male,2009,46.8,16.1,215.0,5500.0
P258,Gentoo,Biscoe,female,2009,41.7,14.7,210.0,4700.0
P259,Gentoo,Biscoe,male,2009,53.4,15.8,219.0,5500.0
P260,Gentoo,Biscoe,female,2009,43.3,14.0,208.0,4575.0
P261,Gentoo,Biscoe,male,2009,48.1,15.1,209.0,5500.0
P262,Gentoo,Biscoe,female,2009,50.5,15.2,216.0,5000.0
P263,Gentoo,Biscoe,male,2009,49.8,15.9,229.0,5950.0
P264,Gentoo,Biscoe,female,2009,43.5,15.2,213.0,4650.0
P265,Gentoo,Biscoe,male,2009,51.5,16.3,230.0,5500.0
P266,Gentoo,Biscoe,female,2009,46.2,14.1,217.0,4375.0
P267,Gentoo,Biscoe,male,2009,55.1,16.0,230.0,5850.0
P268,Gentoo,Biscoe,unknown,2009,44.5,15.7,217.0,4875.0
P269,Gentoo,Biscoe,male,2009,48.8,16.2,222.0,6000.0
P270,Gentoo,Biscoe,female,2009,47.2,13.7,214.0,4925.0
P271,Gentoo,Biscoe,female,2009,46.8,14.3,215.0,4850.0
P272,Gentoo,Biscoe,male,2009,50.4,15.7,222.0,5750.0
P273,Gentoo,Biscoe,female,2009,45.2,14.8,212.0,5200.0
P274,Gentoo,Biscoe,male,2009,49.9,16.1,213.0,5400.0
P275,Chinstrap,Dream,female,2007,46.5,17.9,192.0,3500.0
P276,Chinstrap,Dream,male,2007,50.0,19.5,196.0,3900.0
P277,Chinstrap,Dream,male,2007,51.3,19.2,193.0,3650.0
P278,Chinstrap,Dream,female,2007,45.4,18.7,188.0,3525.0
P279,Chinstrap,Dream,male,2007,52.7,19.8,197.0,3725.0
P280,Chinstrap,Dream,female,2007,45.2,17.8,198.0,3950.0
P281,Chinstrap,Dream,female,2007,46.1,18.2,178.0,3250.0
P282,Chinstrap,Dream,male,2007,51.3,18.2,197.0,3750.0
P283,Chinstrap,Dream,female,2007,46.0,18.9,195.0,4150.0
P284,Chinstrap,Dream,male,2007,51.3,19.9,198.0,3700.0
P285,Chinstrap,Dream,female,2007,46.6,17.8,193.0,3800.0
P286,Chinstrap,Dream,male,2007,51.7,20.3,194.0,3775.0
P287,Chinstrap,Dream,female,2007,47.0,17.3,185.0,3700.0
P288,Chinstrap,Dream,male,2007,52.0,18.1,201.0,4050.0
