species_id,species_name,genus,species,taxa,observations,weight_records,hindfoot_records,mean_weight_g,median_weight_g,mean_hindfoot_length_mm,median_hindfoot_length_mm,female_fraction,n_plots_observed,n_plot_types_observed,n_years_observed,first_year_observed,last_year_observed,seasonal_spread_months,peak_month,frac_plot_type_control,frac_plot_type_long_term_krat_exclosure,frac_plot_type_rodent_exclosure,frac_plot_type_short_term_krat_exclosure,frac_plot_type_spectab_exclosure,taxa_bird,taxa_rabbit,taxa_reptile,taxa_rodent
BA,Baiomys taylori,Baiomys,taylori,Rodent,46,45,45,8.6,8.0,13.0,13.0,0.6888888888888889,8,5,4,1989,1992,12,12,0.021739130434782608,0.8043478260869565,0.08695652173913043,0.06521739130434782,0.021739130434782608,False,False,False,True
PB,Chaetodipus baileyi,Chaetodipus,baileyi,Rodent,2891,2810,2864,31.735943060498222,31.0,26.115921787709496,26.0,0.5751222921034241,23,5,8,1995,2002,12,7,0.2729159460394327,0.3621584226911103,0.022137668626772744,0.2967831200276721,0.04600484261501211,False,False,False,True
PP,Chaetodipus penicillatus,Chaetodipus,penicillatus,Rodent,3123,3024,3027,17.173941798941797,17.0,21.751569210439378,22.0,0.5227568270481144,24,5,26,1977,2002,12,7,0.3547870637207813,0.2814601344860711,0.0771693884085815,0.1834774255523535,0.10310598783221261,False,False,False,True
DM,Dipodomys merriami,Dipodomys,merriami,Rodent,10596,10262,9972,43.157863964139544,44.0,35.98235058162856,36.0,0.4327663213912382,24,5,26,1977,2002,12,3,0.6379765949414874,0.02312193280483201,0.08031332578331446,0.10909777274443186,0.14949037372593432,False,False,False,True
DO,Dipodomys ordii,Dipodomys,ordii,Rodent,3027,2904,2887,48.870523415977964,50.0,35.607551091098024,36.0,0.4338308457711443,23,5,26,1977,2002,12,4,0.5520317145688801,0.028080607862570203,0.06871489924017178,0.12223323422530559,0.22893954410307235,False,False,False,True
DS,Dipodomys spectabilis,Dipodomys,spectabilis,Rodent,2504,2344,2132,120.13054607508532,124.0,49.94887429643527,50.0,0.48331977217249794,24,5,21,1977,1999,12,4,0.5547124600638977,0.010383386581469648,0.04153354632587859,0.18570287539936103,0.20766773162939298,False,False,False,True
NL,Neotoma albigula,Neotoma,albigula,Rodent,1252,1152,1074,159.24565972222223,164.0,32.29422718808193,32.0,0.5734919286321155,24,5,26,1977,2002,12,7,0.48722044728434505,0.13258785942492013,0.11741214057507987,0.2012779552715655,0.06150159744408946,False,False,False,True
OL,Onychomys leucogaster,Onychomys,leucogaster,Rodent,1006,970,920,31.575257731958764,32.0,20.532608695652176,21.0,0.48125633232016213,23,5,22,1977,2002,12,10,0.46819085487077533,0.1073558648111332,0.11133200795228629,0.19284294234592445,0.12027833001988071,False,False,False,True
OT,Onychomys torridus,Onychomys,torridus,Rodent,2249,2160,2139,24.230555555555554,24.0,20.267414679756897,20.0,0.47763217352010845,24,5,26,1977,2002,12,10,0.44642063139172966,0.1676300578034682,0.10137839039573143,0.2009782125389062,0.08359270787016451,False,False,False,True
PF,Perognathus flavus,Perognathus,flavus,Rodent,1597,1548,1493,7.92312661498708,8.0,15.583389149363697,16.0,0.48124602670057215,23,5,24,1977,2002,12,4,0.2654978083907326,0.36192861615529115,0.034439574201628055,0.29555416405760804,0.042579837194740136,False,False,False,True
PH,Perognathus hispidus,Perognathus,hispidus,Rodent,32,31,31,31.06451612903226,32.0,25.774193548387096,26.0,0.65625,9,5,9,1984,1997,11,4,0.34375,0.34375,0.03125,0.1875,0.09375,False,False,False,True
PE,Peromyscus eremicus,Peromyscus,eremicus,Rodent,1299,1260,1212,21.586507936507935,22.0,20.195544554455445,20.0,0.4534064212999217,24,5,26,1977,2002,12,11,0.2640492686682063,0.16474210931485758,0.36566589684372597,0.18090839107005388,0.024634334103156273,False,False,False,True
PL,Peromyscus leucopus,Peromyscus,leucopus,Rodent,36,36,36,19.13888888888889,20.0,20.02777777777778,20.0,0.45714285714285713,11,4,5,1995,2000,10,2,0.027777777777777776,0.16666666666666666,0.75,0.0,0.05555555555555555,False,False,False,True
PM,Peromyscus maniculatus,Peromyscus,maniculatus,Rodent,899,876,847,21.364155251141554,22.0,20.42621015348288,20.0,0.43261608154020387,24,5,20,1978,2002,12,7,0.13348164627363737,0.26585094549499444,0.40266963292547275,0.16907675194660735,0.028921023359288096,False,False,False,True
RF,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,Rodent,75,75,73,13.386666666666667,13.0,17.52054794520548,17.0,0.76,17,4,5,1982,1997,11,1,0.14666666666666667,0.13333333333333333,0.37333333333333335,0.3466666666666667,0.0,False,False,False,True
RM,Reithrodontomys megalotis,Reithrodontomys,megalotis,Rodent,2609,2535,2442,10.585009861932939,10.0,16.44185094185094,17.0,0.4705651491365777,24,5,26,1977,2002,12,3,0.15446531238022232,0.2775009582215408,0.40053660406285935,0.1483326945189728,0.019164430816404752,False,False,False,True
SF,Sigmodon fulviventer,Sigmodon,fulviventer,Rodent,43,41,41,58.8780487804878,50.0,26.70731707317073,27.0,0.425,10,5,6,1989,2002,10,12,0.4418604651162791,0.4418604651162791,0.023255813953488372,0.06976744186046512,0.023255813953488372,False,False,False,True
SH,Sigmodon hispidus,Sigmodon,hispidus,Rodent,147,141,131,73.14893617021276,72.0,28.549618320610687,29.0,0.5454545454545454,17,5,15,1977,2002,12,7,0.3401360544217687,0.46938775510204084,0.061224489795918366,0.11564625850340136,0.013605442176870748,False,False,False,True
SO,Sigmodon ochrognathus,Sigmodon,ochrognathus,Rodent,43,41,41,55.41463414634146,49.0,25.658536585365855,25.0,0.7441860465116279,8,4,5,1991,1997,12,5,0.20930232558139536,0.5116279069767442,0.06976744186046512,0.20930232558139536,0.0,False,False,False,True
